ID;Issue;Created;Closed;LTC_timedelta;LTC_dias;LTC_horas_total;LTC_formatado;;LTC
490;"Fix campo ""Nome da Unidade Consumidora"" (#490)";2025-05-17T00:07:44Z;2025-06-01T13:19:11Z;15 days, 13:11:27;15;37.319.083.333.333.300;15 dias, 13 horas e 11 minutos;;64
480;Tratamento de erro para plot de gráficos (#480);2025-05-12T15:54:23Z;2025-05-14T14:48:34Z;1 day, 22:54:11;1;46.903.055.555.555.500;1 dias, 22 horas e 54 minutos;;
479;Refatorar a mensagem para faturas do mês da vigência (#479);2025-05-12T15:39:22Z;2025-05-14T12:50:44Z;1 day, 21:11:22;1;4.518.944.444.444.440;1 dias, 21 horas e 11 minutos;;
477;Relatório detalhado faltando dados (#477);2025-05-09T00:13:53Z;2025-05-14T12:44:41Z;5 days, 12:30:48;5;13.251.333.333.333.300;5 dias, 12 horas e 30 minutos;;
475;Tarifa vencida mesmo dentro da validade (#475);2025-05-08T22:48:49Z;2025-05-14T12:48:13Z;5 days, 13:59:24;5;133.99;5 dias, 13 horas e 59 minutos;;
471;Problema com o login ao sair da aplicação (Segunda prioridade) (#471);2025-04-30T22:15:36Z;2025-05-21T01:56:10Z;20 days, 3:40:34;20;4.836.761.111.111.110;20 dias, 3 horas e 40 minutos;;
468;Erro ao entrar pela segunda vez na análise (Prioridade máxima) (#468);2025-04-30T22:08:44Z;2025-05-02T19:51:33Z;1 day, 21:42:49;1;4.571.361.111.111.110;1 dias, 21 horas e 42 minutos;;
467;Erro no gráfico: todos os meses e indisponível não aparecem (Prioridade máxima) (#467);2025-04-30T22:07:02Z;2025-05-14T14:20:10Z;13 days, 16:13:08;13;3.282.188.888.888.880;13 dias, 16 horas e 13 minutos;;
465;Erro na quantidade máxima de caracteres do num da UC ao cadastrar nova UC (#465);2025-04-30T12:46:17Z;2025-05-13T12:50:28Z;13 days, 0:04:11;13;3.120.697.222.222.220;13 dias, 0 horas e 4 minutos;;
464;Bug: Gráficos Tela de Análise quebrando no Firefox Mac OS (#464);2025-04-28T19:03:28Z;2025-05-08T23:39:52Z;10 days, 4:36:24;10;24.460.666.666.666.600;10 dias, 4 horas e 36 minutos;;
